time,total_queue_length,waiting_for_seat_count,occupied_seats,finished_students,seat_utilization
1,0,0,0,0,0.0000
2,0,0,0,0,0.0000
3,0,0,0,0,0.0000
4,0,0,0,0,0.0000
5,0,0,0,0,0.0000
6,0,0,0,0,0.0000
7,0,0,0,0,0.0000
8,0,0,0,0,0.0000
9,0,0,0,0,0.0000
10,0,0,0,0,0.0000
11,0,0,0,0,0.0000
12,0,0,0,0,0.0000
13,1,0,0,0,0.0000
14,2,0,0,0,0.0000
15,2,0,0,0,0.0000
16,2,0,0,0,0.0000
17,2,0,0,0,0.0000
18,2,0,0,0,0.0000
19,2,0,0,0,0.0000
20,3,0,0,0,0.0000
21,3,0,0,0,0.0000
22,3,0,0,0,0.0000
23,3,0,0,0,0.0000
24,3,0,0,0,0.0000
25,3,0,0,0,0.0000
26,3,0,0,0,0.0000
27,3,0,0,0,0.0000
28,3,0,0,0,0.0000
29,3,0,0,0,0.0000
30,3,0,0,0,0.0000
31,3,0,0,0,0.0000
32,3,0,0,0,0.0000
33,3,0,0,0,0.0000
34,3,0,0,0,0.0000
35,4,0,0,0,0.0000
36,4,0,0,0,0.0000
37,2,0,2,0,0.0200
38,1,0,3,0,0.0300
39,1,0,3,0,0.0300
40,2,0,3,0,0.0300
41,2,0,3,0,0.0300
42,2,0,3,0,0.0300
43,2,0,3,0,0.0300
44,2,0,3,0,0.0300
45,2,0,3,0,0.0300
46,2,0,3,0,0.0300
47,3,0,3,0,0.0300
48,3,0,3,0,0.0300
49,3,0,3,0,0.0300
50,3,0,3,0,0.0300
51,3,0,3,0,0.0300
52,3,0,3,0,0.0300
53,4,0,3,0,0.0300
54,4,0,3,0,0.0300
55,4,0,3,0,0.0300
56,3,0,4,0,0.0400
57,3,0,4,0,0.0400
58,2,0,5,0,0.0500
59,2,0,5,0,0.0500
60,2,0,5,0,0.0500
61,2,0,5,0,0.0500
62,2,0,5,0,0.0500
63,2,0,5,0,0.0500
64,2,0,6,0,0.0600
65,2,0,6,0,0.0600
66,2,0,6,0,0.0600
67,1,0,7,0,0.0700
68,1,0,7,0,0.0700
69,1,0,7,0,0.0700
70,1,0,7,0,0.0700
71,1,0,7,0,0.0700
72,1,0,7,0,0.0700
73,1,0,7,0,0.0700
74,1,0,7,0,0.0700
75,1,0,7,0,0.0700
76,1,0,7,0,0.0700
77,1,0,7,0,0.0700
